id,name_ja,name_en,name_zh_hant,name_zh_hans,name_th,name_ko,name_vi
547,宿坊,shukubo,,,ชุคุโบ,템플스테이,nghỉ trọ tại chùa
548,キッチン付きホテル,hotels with kitchens,,,โรงแรมพร้อมห้องครัว,주방이 있는 호텔,khách sạn có bếp
549,ラブホテル,love hotel,情趣旅館,情人旅馆,เลิฟโฮเต็ล,러브호텔,khách sạn tình yêu
550,ゲストハウス,guest house,民宿,民宿,เกสต์เฮ้าส์,게스트하우스,nhà khách
551,ホステル,hostel,青年旅館,青年旅社,โฮสเทล,호스텔,khách sạn
552,旅館,ryokan,旅館,旅馆,เรียวคัง,료칸,lữ quán (nhà trọ kiểu Nhật)
553,注文,order,,,สั่งซื้อ,주문,gọi món
554,おもてなし,hospitality,,,omotenashi,접대,lòng hiếu khách
555,挨拶,greetings,,问候语,การทักทาย,인사,lời chào hỏi
556,駅,train station,車站,车站,สถานี,역,ga xe lửa
557,地下鉄,subway,地下鐵,地下铁,รถไฟใต้ดิน,지하철,xe điện ngầm
558,喫煙所,smoking area,,吸菸场所,ที่สูบบุหรี่,흡연구역,khu vực hút thuốc
559,インターネット,internet,,网路,อินเตอร์เน็ต,인터넷,internet
560,台風,typhoon,,颱风,ไต้ฝุ่น,태풍,bão
561,空港,airport,機場,机场,สนามบิน,공항,sân bay
562,結婚式,wedding,,婚礼,งานแต่งงาน,결혼식,lễ cưới
563,免税,duty free,免稅,免税,ปลอดภาษี,면세,miễn thuế
564,自転車,bicycle,自行車(自転車),自行车(自転車),จักรยาน,자전거,xe đạp
565,新幹線,bullet train,新幹線,新干线,ชินคันเซ็น,신칸센,tàu cao tốc
566,車,car,車,车,รถยนต์,자동차,xe hơi
567,東京メトロ,tokyo metro,東京Metro地鐵,东京Metro地铁,tokyo metro,도쿄 메트로,tàu điện ngầm tokyo
568,レンタカー,rent a car,租車,租车,รถเช่า,렌터카,thuê một chiếc xe
569,wifi,wifi,wifi,wifi,wifi,wifi,wifi
570,クーポン,coupon,優惠券,优惠券,คูปอง,쿠폰,phiếugiảm giá
571,アプリ,app,app,app,แอปพลิเคชั่น,앱,app
572,フリーパス,free pass,優惠套票,周游券,ฟรีพาส,프리패스,vé miễn phí
573,ロッカー,locker,置物櫃,置物柜,ล็อกเกอร์,로커,khóa
574,タクシー,taxis,,计程车,แท็กซี่,택시,taxi
575,路面電車,trams,,路面电车,รถแทรม,노면전차,xe điện
576,電車,trains,電車,电车,รถไฟ,전철,tàu điện
577,鉄道,railway,鐵道,铁道,ทางรถไฟ,철도,đường sắt
578,バリアフリー,accessibility,無障礙,无障碍,Barrier free,장애인 배려시설,khả năng tiếp cận
579,バス,bus,巴士,公交,รถบัส,버스,xe buýt
5564,天候,weather,氣候,气候,สภาพอากาศ,날씨,thời tiết
7923,低予算旅行,budget travel,低預算旅行,低预算旅行,ประหยัด,저예산여행,ngân sách du lịch
7939,交通,transportation,交通,交通,การเดินทาง,교통,vận chuyển
7940,マナー,manners,禮儀,礼仪,มารยาท,매너,"tác phong, phép ứng xử"
580,冬,winter,冬,冬,ฤดูหนาว,겨울,mùa đông
581,秋,autumn,秋,秋,ฤดูใบไม้ร่วง,가을,mùa thu
582,春,spring,春,春,ฤดูใบไม้ผลิ,봄,mùa xuân
583,夏,summer,夏,夏,ฤดูร้อน,여름,mùa hè
584,雪まつり,snow festival,雪祭,雪祭,เทศกาลหิมะ,눈 축제,lễ hội tuyết
585,ひな祭り,hinamatsuri,女兒節,女儿节,เทศกาลฮินะ,히나마츠리,lễ hội búp bê
586,メイド,maids,女僕,女僕,เมดสาว,메이드,người giúp việc
587,花火大会,fireworks,煙火大會,烟火大会,การแสดงจุดดอกไม้ไฟ,불꽃놀이 대회,pháo hoa
588,芸者,geisha,藝伎,艺伎,เกอิชา,게이샤,geisha
589,舞妓,maiko,舞伎,舞伎,ไมโกะ,마이코,maiko
590,桜,sakura,櫻花,樱花,ซากุระ,벚꽃,sakura
591,展覧会,exhibition,展覽,展览,นิทรรศการ,전람회,triển lãm
592,アート,art,藝術,艺术,ศิลปะ,아트,nghệ thuật
593,アイドル,idol,偶像明星,偶像明星,ไอดอล,아이돌,thần tượng
594,学校,school,學校,学校,โรงเรียน,학교,trường học
595,盆栽,bonsai,盆栽,盆栽,บอนไซ,분재,bonsai
596,日本語,japanese,日文,日文,ภาษาญี่ปุ่น,일본어,tiếng Nhật
597,楽器,instruments,樂器,乐器,เครื่องดนตรี,악기,dụng cụ
598,ゲーム,video games,遊戲,游戏,เกม,게임,trò chơi điện tử
599,本,books,書,书,หนังสือ,책,sách
600,祭り,festival,祭典,祭典,เทศกาล,마츠리,lễ hội
601,マスコット,mascots,,,มาสค็อต,마스코트,linh vật
602,クリスマス,christmas,聖誕節,圣诞节,คริสต์มาส,크리스마스,giáng sinh
603,トレンド,trends,,,เทรนด์,트렌드,xu hướng
604,梅,ume,,梅花,บ๊วย,매실,mơ
605,ラベンダー,lavender,,薰衣草,ลาเวนเดอร์,라벤더,hoa oải hương
606,野球,baseball,棒球,棒球,เบสบอล,야구,bóng chày
607,ひまわり,sunflowers,,向日葵,ดอกทานตะวัน,해바라기,hoa hướng dương
608,安い,cheap,,高CP值,ราคาถูก,저렴한,rẻ
609,銀杏,ginkgo,銀杏,银杏,แปะก๊วย,은행,bạch quả
610,オタク,otaku,宅文化,宅文化,โอตาคุ,오타쿠,người hâm mô truyện tranh và phim hoạt hình (otaku)
611,南部鐵器,nambu tekki ironware,,,เครื่องโลหะนันบุ,남부 철기,đồ sắt nambu
612,袴,hakama,,袴,ฮากามะ,하카마,quần ống rộng hakama
613,金箔,gold leaf,,金箔,ทองคำเปลว,금박,lá vàng
614,あじさい,hydrangeas,繡球花,绣球花,อาจิไซ,수국,hoa cẩm tú cầu
615,御朱印,goshuin,御朱印,御朱印,ตราชูอิน,고슈인,"châu ấn (goshuin) tại đền, chùa"
616,ゴールデンウィーク,golden week,黃金週,黄金週,โกลเด้นวีค,골든위크,tuần lễ vàng
617,お守り,charm,御守,御守,เครื่องราง,부적,quyến rũ
618,東京タワー,tokyo tower,東京鐵塔,东京铁塔,โตเกียวทาวเวอร์,도쿄타워,tháp Tokyo
619,アンパンマンこどもミュージアム,,,,พิพิธภัณฑ์อันปังแมน,호빵맨 어린이 박물관,
620,高知県立坂本龍馬記念館,the sakamoto ryoma memorial museum,,,พิพิธภัณฑ์อนุสรณ์สถานซากาโมโตะ เรียวมะ,고치 현립 사카모토 료마 기념관,bảo tàng tưởng niệm Sakamoto Ryoma
621,熱田神宮,atsuta shrine,熱田神宮,热田神宫,ศาลเจ้าอะสึตะ,아츠타 신궁,điện thờ Atsuta
622,お台場海浜公園,odaiba marine park,台場海濱公園,台场海滨公园,สวนโอไดบะไคฮิน,오다이바 해변공원,Công viên hàng hải Odaiba
623,富士急ハイランド,fuji-q highland,富士急樂園,富士急乐园,ฟูจิคิวไฮแลนด์,후지큐 하이랜드,công viên trên cao Fuji-q
624,東映太秦映画村,toei kyoto studio park,,,กองถ่ายภาพยนตร์โทเออิเกียวโต,토에이 우즈마사 에이가무라,công viên Toei Kyoto Studio
625,吾妻橋,,,,สะพานอะสุมะบาชิ,아즈마바시 다리,
626,上野動物園,ueno zoo,上野動物園,上野动物园,สวนสัตว์อุเอโนะ,우에노 동물원,sở thú Ueno
627,よこはまコスモワールド,,,,โยโกฮาม่าคอสโม่เวิร์ล,요코하마 코스모월드,
628,水木しげる記念館,mizuki shigeru museum,,,พิพิธภัณฑ์มิสุกิชิเกะรุ,미즈키 시게루 기념관,bảo tàng Mizuki Shigeru
629,ナガシマスパーランド,,,,นากาชิมะสปาแลนด์,나가시마 스파 랜드,
630,琴林公園,,,,สวนคินริน,긴린 공원,
631,江戶東京建築園,edo-tokyo open air architectural museum,,,พิพิธภัณฑ์กลางแจ้งเอโดะ,에도 도쿄 다테모노엔,bảo tàng kiến trúc ngoài trời Edo-Tokyo
632,すみだ水族館,sumida aquarium,,,พิพิธภัณฑ์สัตว์น้ำซุมิดะ,스미다 수족관,thủy cung Sumida
633,サントリー美術館,,,,หอศิลป์ซันโทรี่,산토리 미술관,
634,山下公園,,,,สวนยามาชิตะ,야마시타 공원,
635,東京スカイツリー,tokyo skytree,晴空塔,晴空塔,โตเกียวสกายทรี,도쿄 스카이트리,Tokyo skytree
636,帝國城,,,,ปราสาทเทโคคุ,,
637,中部国際空港,chubu centrair international airport,中部國際機場,中部国际机场,สนามบินนานาชาติชูบุ,주부 국제공항,sân bay quốc tế trung tâm Chubu
638,東京ドームシティ,tokyo dome city,,,โตเกียวโดมซิตี้,도쿄 돔 시티,Tokyo Dome city
639,スヌーピーミュージアム,snoopy museum,,,พิพิธภัณฑ์สนูปปี้,스누피 뮤지엄,bảo tàng Snoopy
640,六本木ヒルズ,roppongi hills,六本木新城,六本木新城,รปปงงิฮิลส์,롯폰기 힐스,Roppongi hills
641,あべのハルカス,abeno harukas,,,อาเบะโนะฮะรุคะสุ,아베노 하루카스,tòa cao ốc Abeno Harukas
642,新横浜ラーメン博物館,shin-yokohama raumen museum,,,พิพิธภัณฑ์ราเมงชินโยโกฮาม่า,신요코하마 라멘 박물관,bảo tàng mỳ ramen Shin-Yokohama
643,サンシャイン水族館,sunshine aquarium,,,พิพิธภัณฑ์สัตว์น้ำซันไชน์,선샤인 수족관,thủy cung Sunshine
644,梅田スカイビル,umeda sky building,梅田藍天大廈,梅田蓝天大厦,อาคารชมวิวอุเมดะสกาย,우메다 스카이빌딩,tòa nhà Umeda sky
645,横浜赤レンガ倉庫,yokohama red brick warehouse,橫濱紅磚倉庫,横滨红砖仓库,ตึกแดงโยโกฮาม่า,요코하마 아카렌가 창고,khu nhà gạch đỏ Yokohama
646,レオマリゾート,reoma resort,雷歐瑪渡假村,雷欧玛渡假村,เรโอมะรีสอร์ต,레오마 리조트,khu nghỉ dưỡng Reoma
647,東京ジョイポリス,tokyo joypolis,,,โตเกียวจอยโพลิส,도쿄 조이폴리스,trung tâm giải trí Tokyo Joypolis
648,後樂園,korakuen,後樂園,后乐园,สวนโคราคุเอน,고라쿠엔,Korakuen
649,鈴鹿サーキット,suzuka circuit,鈴鹿賽車場,铃鹿赛车场,สนามแข่งรถซุซุกะ,스즈카 서킷,trường đua xe Suzuka
650,東京都庁,tokyo metropolitan government building,東京都廳,东京都厅,สำนักงานบริหารมหานครโตเกียว,도쿄 도청,tòa nhà thị chính Tokyo
651,新江ノ島水族館,,,,พิพิธภัณฑ์สัตว์น้ำชินเอโนชิมะ,신에노시마 수족관,
652,歌舞伎座,kabuki-za theatre,,,โรงละครคาบุกิซะ,가부키자,nhà hát Kabuki-za
653,首里城,shurijo castle,首里城,首里城,ปราสาทชูริ,슈리성,lâu đài Shurijo
654,沖縄美ら海水族館,,,,พิพิธภัณฑ์สัตว์น้ำชุราอูมิ,오키나와 추라우미 수족관,
655,金沢21世紀美術館,21st century museum of contemporary art,,,พิพิธภัณฑ์ศิลปะศตวรรษที่ 21,가나자와 21세기 미술관,bảo tàng nghệ thuật đương đại thế kỷ 21
656,レゴランド・ディスカバリー・センター東京,legoland discovery center,樂高樂園,乐高乐园,เลโก้แลนด์ดิสคัฟเวอร์รี่เซ็นเตอร์,레고랜드 디스커버리 센터 도쿄,trung tâm khám phá Legoland
657,東京ドーム,tokyo dome,東京巨蛋,东京巨蛋,โตเกียวโดม,도쿄 돔,mái vòm Tokyo
658,海遊館,osaka aquarium kaiyukan,,,พิพิธภัณฑ์สัตว์น้ำไคยูคัง,가이유칸,thủy cung Osaka kaiyukan
659,関西国際空港,kansai international airport,關西機場,关西机场,สนามบินคันไซ,간사이 국제공항,sân bay quốc tế Kansai
660,成田国際空港,narita airport,成田機場,成田机场,สนามบินนาริตะ,나리타 국제공항,sân bay Narita
661,東京ディズニーシー,disney sea,迪士尼樂園,东京迪士尼,โตเกียวดิสนีย์ซี,도쿄 디즈니씨,Disney Sea
662,新千歳空港,shin-chitose airport,新千歲機場,新千岁机场,สนามบินชินชิโตเซะ,신치토세 공항,sân bay Shin-Chitose
663,羽田空港,haneda airport,羽田機場,羽田机场,สนามบินฮาเนดะ,하네다 공항,sân bay Haneda
664,東京ディズニーランド,disneyland,迪士尼樂園,东京迪士尼,โตเกียวดิสนีย์แลนด์,도쿄 디즈니랜드,Disneyland
665,ユニバーサル・スタジオ・ジャパン™,universal studios japan,環球影城,环球影城,ยูนิเวิร์ลซัล สตูดิโอ,유니버설 스튜디오 재팬,Universal Studios Japan
666,箱根 芦ノ湖遊覧船,,,,เรือโจรสลัดฮาโกเน่,하코네 아시노코 유람선,
667,カップヌードルミュージアム,cup noodles museum,,,พิพิธภัณฑ์คัพนู้ดเดิ้ล,컵라면 박물관,bảo tàng mì cốc
668,旭山動物園,asahiyama zoo,,,สวนสัตว์อาซาฮิยามะ,아사히야마 동물원,sở thú Asahiyama
669,那須りんどう湖ファミリー牧場,,,,ฟาร์มทะเลสาบนาซุรินโด,나스 린도코 호수 패밀리 목장,
670,河内藤園,kawachi wisteria garden,,,อุโมงค์ดอกวิสทีเรียคาวาชิ,카와치 등나무원,vườn hoa tử đằng Kawachi
671,日光江戸村,,,,หมู่บ้านนิกโก้เอโดะ,닛코 에도 원더랜드,
672,通天閣,tsutenkaku,通天閣,通天阁,หอคอยซึเทนคะคุ,쓰텐카쿠,tháp Tsutenkaku
673,両国国技館,,,,อาคารแข่งขันซูโม่เรียวโงกุ,료고쿠 국기관,
674,ハウステンボス,huis ten bosch,豪斯登堡,豪斯登堡,เฮาส์เทนบอช,하우스텐보스,công viên chủ đề Huis Ten Bosch
675,すみだ北斎美術館,,,,,스미다 호쿠사이 미술관,
676,静岡県立美術館,,,,หอศิลป์ประจำจังหวัดชิซูโอกะ,시즈오카 현립 미술관,
677,サンシャインシティ,sunshine city,太陽城,太阳城,ซันไชน์ซิตี้,선샤인시티,Sunshine City
678,表参道ヒルズ,omotesando hills,,,โอโมเตะซันโด ฮิลส์,오모테산도 힐즈,Omotesando Hills
679,ららぽーと,,,,lalaport,라라포트,
680,コピス吉祥寺,,,,coppice kichijoji,코피스 키치죠지,
681,アクアシティお台場,,,,aqua city odaiba,아쿠아시티 오다이바,
682,国立科学博物館,,,,พิพิธภัณฑ์ธรรมชาติและวิทยาศาสตร์แห่งชาติ,국립 과학 박물관,
683,浅草花やしき,,,,สวนสนุกอาซากุสะฮานะยะชิคิ,아사쿠사 하나야시키,
684,東京クルーズ,,,,tokyo cruise,도쿄 크루즈,
685,多慶屋,,,,ทาเคยะ,타케야,
686,幕張メッセ,makuhari messe,,,,마쿠하리 멧세,Makuhari Messe
687,横浜アリーナ,yokohama arena,,,,요코하마 아레나,Yokohama Arena
688,東京国際フォーラム,,,,,도쿄 국제 포럼,
689,味の素スタジアム,ajinomoto stadium,,,,아지노모토 스타디움,sân vận động Ajinomoto
690,名古屋市科学館,,,,พิพิธภัณฑ์วิทยาศาสตร์นาโกย่า,나고야시 과학관,
691,豊川稲荷,,,,,토요카와 이나리,
692,八丁味噌の郷,hatcho miso museum,,,พิพิธภัณฑ์ฮัชโชมิโซะ,핫쵸미소노 미야코,bảo tàng Hatcho Miso
693,京都タワー,kyoto tower,京都塔,京都塔,เกียวโตทาวเวอร์,교토 타워,tháp Kyoto
694,上野恩賜公園,ueno park,,,สวนอุเอโนะ,우에노 온시 공원,công viên Ueno
695,宮島水族館,miyajima aquarium,,,พิพิธภัณฑ์สัตว์น้ำมิยาจิม่า,미야지마 수족관,thủy cung Miyajima
696,宮島ロープウエー,miyajima ropeway,,,มิยาจิม่าโรปเวย์,미야지마 로프웨이,Cáp treo Miyajima
697,宮島歴史民俗資料館,,,,พิพิธภัณฑ์พื้นบ้านและประวัติศาสตร์มิยาจิม่า,미야지마 역사 민속 자료관,
698,SKY CIRCUS サンシャイン60展望台,,,,,SKY CIRCUS 선샤인 60 전망대,
699,プラネタリウム“満天”,,,,,"플라네타리움 ""만텐""",
700,東京芸術劇場,tokyo metropolitan theatre,,,,도쿄 예술극장,nhà hát đô thị Tokyo
701,高崎山自然動物園,,,,,타카사키야마 자연동물원,
702,野毛山動物園,,,,,노게야마 동물원,
703,adventure world,adventure world,,,adventure world,adventure world,thế giới phiêu lưu
704,富士サファリパーク,fuji safari park,,,ฟูจิซาฟารีพาร์ค,후지 사파리 파크,công viên Safari Fuji
705,多摩動物公園,tama zoological park,,,สวนสัตว์ทามะ,타마 동물원,công viên động vật Tama
706,アフリカサファリ,,,,,아프리카 사파리,
707,世界淡水魚園水族館,,,,,세계 담수어원 수족관,
708,アクアマリンふくしま,,,,,아쿠아마린 후쿠시마,
709,マクセル アクアパーク品川,,,,อควาปาร์คชินากาว่า,맥셀 아쿠아 파크 시나가와,
710,横浜・八景島シーパラダイス,,,,,요코하마・핫케이지마 씨파라다이스,
711,鴨川シーワールド,kamogawa sea world,,,kamogawa sea world,카모가와 시월드,thế giới biển Kamogawa
712,名古屋港水族館,,,,พิพิธภัณฑ์สัตว์น้ำท่าเรือนาโกย่า,나고야항 수족관,
713,別子銅山記念館,,,,,벳시 구리 광산 기념관,
714,うみてらす14,,,,,우미테라스 14,
715,八幡製鐵所,,,,,야하타 제철소,
716,千葉ポートタワー,,,,,치바 포트 타워,
717,北海道大学植物園,,,,สวนพฤกษศาสตร์มหาวิทยาลัยฮอกไกโด,홋카이도 대학 식물원,
718,東京国立博物館,tokyo national museum,,,พิพิธภัณฑสถานแห่งชาติโตเกียว,도쿄 국립 박물관,bảo tàng quốc gia Tokyo
719,zepp東京,zepp tokyo,,,zepp tokyo,zepp 도쿄,Zepp Tokyo
720,星の王子さまミュージアム,the little prince museum,,,พิพิธภัณฑ์เจ้าชายน้อย,어린왕자 박물관,bảo tàng hoàng tử nhỏ
721,コニカミノルタプラネタリウム,,,,,코니카 미놀타 플라네타리움,
722,ナンジャタウン,,,,,난쟈타운,
723,j-world tokyo,j-world tokyo,,,,j-world tokyo,J-world Tokyo
724,サンシャイン劇場,sunshine theatre,,,,선샤인 극장,nhà hát Sunshine
725,古代オリエント博物館,,,,,고대 오리엔트 박물관,
726,南山大学,,,,,난잔 대학,
727,日テレタワー,,,,,닛테레 타워,
728,NHKスタジオパーク,,,,,NHK 스튜디오 파크,
729,東京大学,,,,มหาวิทยาลัยโตเกียว,도쿄 대학,
730,京都大学,,,,มหาวิทยาลัยเกียวโต,교토 대학,
731,名古屋大学,,,,มหาวิทยาลัยนาโกย่า,나고야 대학,
732,知恩院,,,,,지온인 절,
733,醍醐寺,,,,วัดไดโงจิ,다이고지 절,
734,光明寺,,,,,고묘지 절,
735,アーツ千代田 3331,,,,,아트 치요다 3331,
736,トーキョーワンダーサイト,,,,,도쿄 원더 사이트,
737,森美術館,mori art museum,,,พิพิธภัณฑ์ศิลปะโมริ,모리 미술관,bảo tàng nghệ thuật Mori
738,東京都写真美術館,,,,พิพิธภัณฑ์ภาพถ่ายมหานครโตเกียว,도쿄도 사진 미술관,
739,アートフェア東京,,,,,아트 페어 도쿄,
740,GEISAI,,,,,GEISAI,
741,中之条ビエンナーレ,,,,,나카노죠 비엔날레,
742,十和田市現代美術館,,,,,토와다 아트 센터,
743,霧島アートの森,kirishima open air museum,,,,키리시마 아트의 숲,bảo tàng ngoài trời Kirishima
744,広島平和記念資料館,hiroshima peace memorial museum,,,พิพิธภัณฑ์อนุสรณ์สถานฮิโรชิม่า,히로시마 평화 기념 자료관,bảo tàng tưởng niệm hòa bình Hiroshima
745,サッポロビール博物館,sapporo beer museum,,,พิพิธภัณฑ์เบียร์ซัปโปโร,삿포로 맥주 박물관,bảo tàng bia Sapporo
746,おもちゃのまち バンダイミュージアム,bandai museum,,,พิพิธภัณฑ์บันได,반다이 뮤지엄,bảo tàng Bandai
747,ツインリンクもてぎ,,,,,트윈 링 모테기,
748,江戸東京博物館,edo tokyo museum,,,พิพิธภัณฑ์เอโดะโตเกียว,에도 도쿄 박물관,bảo tàng Edo Tokyo
749,三鷹の森ジブリ美術館,ghibli museum mitaka,,,พิพิธภัณฑ์จิบลิมิตากะ,미타카의 숲 지브리 미술관,bảo tàng Ghibli Mitaka
750,東京ソラマチ,tokyo solamachi,東京晴空街道,东京晴空街道,tokyo solamachi,도쿄 소라마치,Tokyo Solamachi
751,東京ディズニーリゾート,tokyo disney resort,迪士尼樂園,东京迪士尼,โตเกียวดิสนีย์รีสอร์ต,도쿄 디즈니 리조트,khu nghỉ mát Tokyo Disney
752,サンリオピューロランド,sanrio puroland,,,ซานริโอพูโรแลนด์,산리오 퓨로랜드,công viên chủ đề Sanrio Puroland
753,東京サマーランド,tokyo summer land,,,tokyo summer land,도쿄 서머랜드,Tokyo Summer Land
754,ときわ公園,,,,สวนสาธารณะโทคิวะ,도키와 공원,
755,国営アルプスあづみの公園,,,,National Alps Azumi Field Park,국영 알프스 아즈미노 공원,
756,よみうりランド,yomiuri land,,,สวนสนุกโยมิอุริแลนด์,요미우리 랜드,Yomiuri Land
757,あしかがフラワーパーク,ashikaga flower park,,,สวนดอกไม้อาชิคากะ,아시카가 플라워 파크,công viên hoa Ashikaga
758,地中美術館,chichu art museum,,,พิพิธภัณฑ์ศิลปะชิชู,치츄 미술관,bảo tàng nghệ thuật Chichu
759,としまえん,,,,,토시마엔,
760,日本科学未来館,miraikan,,,มิไรคัง,일본 과학 미래관,Miraikan
761,福井県立恐竜博物館,fukui prefectual dinosaur museum,,,,후쿠이 현립 공룡 박물관,bảo tàng khủng long tỉnh Fukui
762,城島高原パーク,,,,คิจิม่าโคเก็นพาร์ค,키지마 코겐 파크,
763,三井グリーンランド,,,,มิตสึอิกรีนแลนด์,미츠이 그린랜드,
764,ルスツリゾート,,,,rusutsu resort,루스츠 리조트,
765,のぼりべつクマ牧場,,,,สวนหมีโนโบริเบทสึ,노보리베쓰 곰목장,
766,ホースガーデンMURANAKA,,,,horse garden MURANAKA,호스 가든 MURANAKA,
767,ファームイン アニマの里,,,,ฟาร์มอินน์อะนิมะโนะซาโตะ,팜 인 아니마노사토,
768,北きつね牧場,,,,ฟาร์มคิตะคิทสึเนะ,키타키츠네 목장,
769,オホーツク シマリス公園,,,,สวนชิปมังก์โอค็อตส์,오호츠크 시마리스 공원,
770,ほろのべトナカイ観光牧場,,,,ฟาร์มเรนเดียร์โฮโรโนเบะ,호로노베 순록 관광 목장,
771,はこだて明治館,,,,ฮาโกดาเตะเมจิคัง,하코다테 메이지칸,
772,金森赤レンガ倉庫,,,,โกดังอิฐแดงคาเนโมริ,카네모리 아카렌가 창고,
773,函館市熱帯植物園,,,,สวนพฤษศาสตร์เขตร้อนฮาโกดาเตะ,하코다테시 열대식물원,
774,函館ハリストス正教会,,,,โบสถ์ออร์โธดอกซ์ฮาโกดาเตะ,하코다테 하리스트스 정교회,
775,函館朝市,hakodate morning market,,,ตลาดเช้าฮาโกดาเตะ,하코다테 새벽시장,chợ buổi sáng Hakodate
776,旧函館区公会堂,,,,ศาลาประชาคมเก่าฮาโกดาเตะ,구 하코다테구 공회당,
777,国立国際美術館,,,,พิพิธภัณฑ์ศิลปะแห่งชาติโอซาก้า,국립 국제 미술관,
778,大阪市立美術館,,,,พิพิธภัณฑ์ศิลปะโอซาก้า,오사카 시립 미술관,
779,あべのハルカス美術館,abeno harukas art museum,,,พิพิธภัณฑ์ศิลปะอาเบโนะฮารุคัส,아베노하루카스 미술관,bảo tàng nghệ thuật Abeno Harukas
780,大阪市立科学館,osaka science museum,,,พิพิธภัณฑ์วิทยาศาสตร์โอซาก้า,오사카 시립 과학관,bảo tàng khoa học Osaka
781,大阪市立自然史博物館,,,,พิพิธภัณฑ์ประวัติศาสตร์ธรรมชาติโอซาก้า,오사카 시립 자연사 박물관,
782,大阪市立東洋陶磁美術館,,,,พิพิธภัณฑ์เซรามิกตะวันออกโอซาก้า,오사카 시립 동양도자미술관,
783,山王美術館,,,,พิพิธภัณฑ์ศิลปะซันโน,산노 미술관,
784,東京都葛西臨海水族園,tokyo sea life park,,,โตเกียวซีไลฟ์ปาร์ค,도쿄도 카사이 린카이 수족원,công viên sinh vật biển Tokyo
785,しながわ水族館,shinagawa aquarium,,,พิพิธภัณฑ์สัตว์น้ำชินากาว่า,시나가와 수족관,thủy cung Shinagawa
786,足立区生物園,,,,พิพิธภัณฑ์สิ่งมีชีวิตอาดาจิ,아다치구 생물원,
787,グリーンドームねったいかん,,,,กรีนโดมเนทไทคัง,열대환경식물관,
788,井の頭自然文化園水生物館,inokashira park zoo,,,พิพิธภัณฑ์ธรรมชาติและวัฒนธรรมอิโนะคาชิระ,이노카시라 자연 문화원 수생물관,vườn thú công viên Inokashira
789,横浜ランドマークタワー,yokohama landmark tower,,,โยโกฮาม่าแลนด์มาร์คทาวเวอร์,오코하마 랜드마크 타워,tòa tháp Yokohama landmark
790,氷川丸,,,,เรือรบฮิคาวะมารุ,히카와마루,
791,横浜マリンタワー,,,,yokohama marine tower,요코하마 마린 타워,
792,横浜人形の家,,,,พิพิธภัณฑ์ตุ๊กตาโยโกฮาม่า,요코하마 인형의 집,
793,八景島シーパラダイス,,,,ฮักเคจิม่า ซีพาราไดซ์,핫케이지마 씨 파라다이스,
794,キリンビール 横浜工場,kirin beer yokohama factory,,,โรงงานเบียร์คิรินโยโกฮาม่า,기린 맥주 요코하마 공장,nhà máy bia Kirin Yokohama
795,よこはま動物園ズーラシア,,,,สวนสัตว์โยโกฮาม่าซูราเชีย,요코하마 동물원 주라시아,
796,横浜スタジアム,yokohama stadium,,,สนามกีฬาโยโกฮาม่าสเตเดียม,요코하마 스타디움,sân vận động Yokohama
797,エゾジカファーム,,,,ฟาร์มเอโสะจิคะ,에조 시카 팜,
798,大倉山ジャンプ競技場,,,,สนามสกีกระโดดไกลโอคุระยามะ,오쿠라야마 점프 경기장,
799,世界貿易センタービル,world trade center building,,,เวิลด์เทรดเซ็นเตอร์,세계 무역 센터 빌딩,tòa nhà trung tâm thương mại thế giới
800,神戸市役所,,,,ที่ว่าการเมืองโกเบ,고베 시청,
801,白馬ジャンプ競技場,,,,สนามสกีกระโดดไกลฮาคุบะ,하쿠바 점프 경기장,
802,ギア専用劇場,,,,โรงละครเกียร์,기어 전용 극장,
803,ユネッサン,yunessun,,,ยูเนสซัน,유넷산,Yunessun
804,鉄道博物館,the railway museum,,,พิพิธภัณฑ์รถไฟ,철도 박물관,bảo tàng đường sắt
805,国立新美術館,national art center tokyo,,,ศูนย์ศิลปะแห่งชาติโตเกียว,국립 신 미술관,trung tâm nghệ thuật quốc gia Tokyo
806,森アーツセンターギャラリー,mori arts center gallery,,,mori arts center gallery,모리 아트 센터 갤러리,phòng trưng bày trung tâm nghệ thuật Mori
807,泉ガーデンタワー,,,,izumi garden tower,이즈미 가든 타워,
808,郵政博物館,postal museum japan,,,พิพิธภัณฑ์ไปรษณีย์,우정 박물관,bảo tàng bưu chính Nhật Bản
809,柳橋歩道橋,,,,สะพานลอยยานากิบาชิ,야나기바시 육교,
810,TKPガーデンシティ大阪梅田,,,,TKP garden city osaka umeda,TKP 가든 시티 오사카 우메다,
811,すみだ江戸切子館,,,,ซุมิดะเอโดะคิริโกะคัง,스미다 에도 키리코관,
812,大嶋屋恩田,,,,โอชิมายะอนดะ,오시마야 온다,
813,ASAKUSA ZANMAI 99 TIMES,,,,asakusa zanmai 99 times,ASAKUSA ZANMAI 99 TIMES,
814,ポーラ美術館,,,,พิพิธภัณฑ์ศิลปะโพล่า,폴라 미술관,
815,岡田美術館,,,,พิพิธภัณฑ์ศิลปะโอคาดะ,오카다 미술관,
816,御殿場アウトレットモール,gotemba premium outlet,,,เอาท์เลทโกะเทมบะ,고텐바 프리미엄 아웃렛,cửa hàng giảm giá cao cấp Gotemba
